individuals,video,delta_area,camera,video_number,Day
individual1,GX012_1,0.1083851138366052,1,12,1.0
individual10,GX012_1,0.0127943538961167,1,12,1.0
individual11,GX012_1,0.0141761057463322,1,12,1.0
individual12,GX012_1,0.0163423934269512,1,12,1.0
individual13,GX012_1,0.0160110682521526,1,12,1.0
individual14,GX012_1,0.0142784500396345,1,12,1.0
individual15,GX012_1,0.0140621587424361,1,12,1.0
individual16,GX012_1,0.0126584539629531,1,12,1.0
individual17,GX012_1,0.0134592311549076,1,12,1.0
individual18,GX012_1,0.0141912601419111,1,12,1.0
individual2,GX012_1,0.1066692865228672,1,12,1.0
individual3,GX012_1,0.0690415265977846,1,12,1.0
individual4,GX012_1,0.049428599880034,1,12,1.0
individual5,GX012_1,0.0236843805517124,1,12,1.0
individual6,GX012_1,0.017975251854373,1,12,1.0
individual7,GX012_1,0.0163314435282494,1,12,1.0
individual8,GX012_1,0.0169169830325384,1,12,1.0
individual9,GX012_1,0.0116729432577318,1,12,1.0
individual19,GX012_1,0.0123603157198439,1,12,1.0
individual20,GX012_1,0.0703578578439262,1,12,1.0
individual1,GX013_1,0.0324664422555561,1,13,1.5
individual10,GX013_1,0.0105398741866624,1,13,1.5
individual11,GX013_1,0.0139865504006731,1,13,1.5
individual12,GX013_1,0.0115050468662323,1,13,1.5
individual13,GX013_1,0.0093125961753938,1,13,1.5
individual14,GX013_1,0.0100510189308557,1,13,1.5
individual15,GX013_1,0.0116183759390905,1,13,1.5
individual16,GX013_1,0.0122282936567226,1,13,1.5
individual17,GX013_1,0.0111455154139942,1,13,1.5
individual18,GX013_1,0.007535447987899,1,13,1.5
individual2,GX013_1,0.0322283027159088,1,13,1.5
individual3,GX013_1,0.0155698937846507,1,13,1.5
individual4,GX013_1,0.012462280539659,1,13,1.5
individual5,GX013_1,0.0115743028706296,1,13,1.5
individual6,GX013_1,0.0129148848030426,1,13,1.5
individual7,GX013_1,0.0126442163910226,1,13,1.5
individual8,GX013_1,0.0117621899321114,1,13,1.5
individual9,GX013_1,0.0118498634258451,1,13,1.5
individual19,GX013_1,0.0140565088655481,1,13,1.5
individual20,GX013_1,0.0367014168487888,1,13,1.5
individual1,GX014_1,0.1692573422249504,1,14,2.0
individual10,GX014_1,0.0168522678721241,1,14,2.0
individual11,GX014_1,0.0071221435979091,1,14,2.0
individual12,GX014_1,0.0147012481540516,1,14,2.0
individual13,GX014_1,0.0121037223410298,1,14,2.0
individual14,GX014_1,0.0156209120603001,1,14,2.0
individual15,GX014_1,0.0159262895582665,1,14,2.0
individual16,GX014_1,0.0160090076374751,1,14,2.0
individual17,GX014_1,0.0182275947918431,1,14,2.0
individual18,GX014_1,0.0164409714929296,1,14,2.0
individual2,GX014_1,0.0945782925402696,1,14,2.0
individual3,GX014_1,0.0971174652516388,1,14,2.0
individual4,GX014_1,0.0186156735368551,1,14,2.0
individual5,GX014_1,0.0169474187885424,1,14,2.0
individual6,GX014_1,0.0162554715801952,1,14,2.0
individual7,GX014_1,0.0134188597898667,1,14,2.0
individual8,GX014_1,0.0154229297434804,1,14,2.0
individual9,GX014_1,0.0169487794027574,1,14,2.0
individual19,GX014_1,0.0211423901846749,1,14,2.0
individual20,GX014_1,0.0198851047689702,1,14,2.0
individual1,GX015_1,0.2426289926504717,1,15,2.5
individual10,GX015_1,0.0099928786464976,1,15,2.5
individual11,GX015_1,0.0130522167906791,1,15,2.5
individual12,GX015_1,0.0152794169404729,1,15,2.5
individual13,GX015_1,0.0164582559390485,1,15,2.5
individual14,GX015_1,0.0153742777719183,1,15,2.5
individual15,GX015_1,0.0115579217093724,1,15,2.5
individual16,GX015_1,0.0166609503308767,1,15,2.5
individual17,GX015_1,0.0109311739607762,1,15,2.5
individual18,GX015_1,0.0119391774222784,1,15,2.5
individual2,GX015_1,0.1986805684090014,1,15,2.5
individual3,GX015_1,0.1514043743275434,1,15,2.5
individual4,GX015_1,0.0531722900595572,1,15,2.5
individual5,GX015_1,0.022545269281245,1,15,2.5
individual6,GX015_1,0.0163853072715503,1,15,2.5
individual7,GX015_1,0.0157935758610458,1,15,2.5
individual8,GX015_1,0.0195771952800295,1,15,2.5
individual9,GX015_1,0.014548314442747,1,15,2.5
individual19,GX015_1,0.0132237920314136,1,15,2.5
individual20,GX015_1,0.0115180480372153,1,15,2.5
individual1,GX016_1,0.0993030348139418,1,16,3.0
individual10,GX016_1,0.0127610225682502,1,16,3.0
individual11,GX016_1,0.0113472752099227,1,16,3.0
individual12,GX016_1,0.0086710640041496,1,16,3.0
