individuals,video,near_food,camera,video_number,Day
individual1,GX012_1,0.0365066438913937,1,12,1.0
individual10,GX012_1,0.0097523189067868,1,12,1.0
individual11,GX012_1,0.0149562039446243,1,12,1.0
individual12,GX012_1,0.0210340238743122,1,12,1.0
individual13,GX012_1,0.14050489602161,1,12,1.0
individual14,GX012_1,0.0152144119808528,1,12,1.0
individual15,GX012_1,0.0129302639680616,1,12,1.0
individual16,GX012_1,0.0073092736409319,1,12,1.0
individual17,GX012_1,0.060559715573917,1,12,1.0
individual18,GX012_1,0.027807019286154,1,12,1.0
individual2,GX012_1,0.0574214948259082,1,12,1.0
individual3,GX012_1,0.0469541382803344,1,12,1.0
individual4,GX012_1,0.0091961785210638,1,12,1.0
individual5,GX012_1,0.0815142908216974,1,12,1.0
individual6,GX012_1,0.0164061413788309,1,12,1.0
individual7,GX012_1,0.0628041392734423,1,12,1.0
individual8,GX012_1,0.0871154189921941,1,12,1.0
individual9,GX012_1,0.0907700558126601,1,12,1.0
individual19,GX012_1,0.078713726736449,1,12,1.0
individual20,GX012_1,0.0219874073926947,1,12,1.0
individual1,GX013_1,0.0157904145232089,1,13,1.5
individual10,GX013_1,0.1399884799491528,1,13,1.5
individual11,GX013_1,0.0123145371124396,1,13,1.5
individual12,GX013_1,0.1105329016624625,1,13,1.5
individual13,GX013_1,0.0017081454704351,1,13,1.5
individual14,GX013_1,0.1010387907919041,1,13,1.5
individual15,GX013_1,0.1320634794525989,1,13,1.5
individual16,GX013_1,0.0127515045583649,1,13,1.5
individual17,GX013_1,0.0001986215663296,1,13,1.5
individual18,GX013_1,0.0593878483325719,1,13,1.5
individual2,GX013_1,0.0692990644924225,1,13,1.5
individual3,GX013_1,0.0061374063995868,1,13,1.5
individual4,GX013_1,0.0886448050529326,1,13,1.5
individual5,GX013_1,0.0031382207480088,1,13,1.5
individual6,GX013_1,0.2012830953184896,1,13,1.5
individual7,GX013_1,0.0010328321449142,1,13,1.5
individual8,GX013_1,0.0001390350964307,1,13,1.5
individual9,GX013_1,0.046596619460941,1,13,1.5
individual19,GX013_1,0.0026218046755516,1,13,1.5
individual20,GX013_1,0.0421077720618904,1,13,1.5
individual1,GX014_1,0.0008397627670183,1,14,2.0
individual10,GX014_1,0.0692017005196032,1,14,2.0
individual11,GX014_1,0.0,1,14,2.0
individual12,GX014_1,0.0,1,14,2.0
individual13,GX014_1,0.4188054374639164,1,14,2.0
individual14,GX014_1,0.0002624258646932,1,14,2.0
individual15,GX014_1,0.0,1,14,2.0
individual16,GX014_1,0.0002099406917545,1,14,2.0
individual17,GX014_1,0.0,1,14,2.0
individual18,GX014_1,0.017503805175038,1,14,2.0
individual2,GX014_1,0.0006823072482023,1,14,2.0
individual3,GX014_1,0.0002361832782239,1,14,2.0
individual4,GX014_1,0.0,1,14,2.0
individual5,GX014_1,0.0,1,14,2.0
individual6,GX014_1,0.0,1,14,2.0
individual7,GX014_1,0.4497716894977169,1,14,2.0
individual8,GX014_1,0.0228572928147798,1,14,2.0
individual9,GX014_1,0.137642366031596,1,14,2.0
individual19,GX014_1,0.0049336062562326,1,14,2.0
individual20,GX014_1,0.0,1,14,2.0
individual1,GX015_1,0.0002780701928615,1,15,2.5
individual10,GX015_1,1.9862156632967207e-05,1,15,2.5
individual11,GX015_1,1.9862156632967207e-05,1,15,2.5
individual12,GX015_1,0.0056209903271297,1,15,2.5
individual13,GX015_1,0.0,1,15,2.5
individual14,GX015_1,0.0,1,15,2.5
individual15,GX015_1,0.0043895366158857,1,15,2.5
individual16,GX015_1,1.9862156632967207e-05,1,15,2.5
individual17,GX015_1,0.0,1,15,2.5
individual18,GX015_1,0.0,1,15,2.5
individual2,GX015_1,5.958646989890162e-05,1,15,2.5
individual3,GX015_1,0.0007746241086857,1,15,2.5
individual4,GX015_1,0.0002582080362285,1,15,2.5
individual5,GX015_1,3.9724313265934414e-05,1,15,2.5
individual6,GX015_1,0.1728603491767136,1,15,2.5
individual7,GX015_1,0.0721194907343039,1,15,2.5
individual8,GX015_1,3.9724313265934414e-05,1,15,2.5
individual9,GX015_1,0.0,1,15,2.5
individual19,GX015_1,0.0,1,15,2.5
individual20,GX015_1,0.0,1,15,2.5
individual1,GX016_1,0.0012314537112439,1,16,3.0
individual10,GX016_1,0.4174429459550718,1,16,3.0
individual11,GX016_1,0.0,1,16,3.0
individual12,GX016_1,0.0359703656623036,1,16,3.0
individual13,GX016_1,0.0015095239041055,1,16,3.0
individual14,GX016_1,0.0003773809760263,1,16,3.0
individual15,GX016_1,0.0022841480127912,1,16,3.0
